cluster,jobs,most_common_skills,most_common_education,average_experience
13,service manager; assistant project manager; facilities manager; service advisor; facility manager; contracts manager; contract manager; procurement officer; traffic manager; construction project manager; transportation manager; construction engineer; land surveyor; senior quantity surveyor; assistant service manager; procurement analyst; contracting officer; director of facilities; facilities engineer; bus operator; transportation specialist; construction coordinator; transportation engineer; deputy project manager; contract analyst; warranty administrator; service writer,"parts, automotive aftermarket, vehicles, automotive, automobile",Bachelor's Degree,4.04
14,assistant manager; team leader; team lead; territory manager; territory sales manager; country manager; service delivery manager; sales officer; category manager; process associate; recruiting manager; subject matter expert; international sales manager; activation; sales and leasing consultant; territory sales representative; technical sales engineer; sourcing manager; staffing specialist; sourcing specialist; field sales representative; technical sales manager; team assistant; resourcing; business head; branch head; recruitment officer; change manager; commodity manager; process developer; senior territory manager; customer manager; manager trainee; logistics account executive; senior team leader; crm manager; information technology recruiter; team supervisor,"team management, sourcing, transition management, team leader, sales representative",Bachelor's Degree,4.21
15,assistant director; director of development; committee member; secretary treasurer; development officer; chairperson; director of education; director of admissions; education specialist; outreach coordinator; director of administration; event specialist; special events coordinator; special projects manager; assistant director of admissions; community volunteer; field organizer; special projects coordinator; education officer; events assistant; education assistant; education manager; community organizer; special events intern; assistant to the director; community outreach coordinator; education director; director of programs,"fundraising, nonprofits, community outreach, event planning, volunteer management",Bachelor's Degree,3.64
16,asst manager; corporate secretary; compliance officer; business development officer; company secretary; owner human resources executives; senior officer; officer (not vice president); compliance analyst; chief manager; sr associate; business advisory; management associate; greater boston area | professional profile; chief compliance officer; regulatory affairs manager; chief financial offi; greater chicago area | professional profile; regulatory affairs specialist; chief financial offr,"finance, vice president chief financial officer, team management, banking, relationship management",Bachelor's Degree,5.5
17,artist; music teacher; art teacher; dance teacher; professional actor; bassist; band director; art instructor; choreographer; teaching artist; songwriter; recording artist,"painting, visual arts, drawing, sculpture, art instructor",Bachelor of Fine Arts,3.0
18,freelance graphic designer; copywriter; senior graphic designer; graphic artist; graphic design intern; senior art director; creative; freelance artist; freelance copywriter; senior copywriter; graphic and web designer; creative manager; creative intern; freelance art director; head of design; lead graphic designer,"graphic designer, art director, adobe creative suite, creative director, illustrator",Bachelor's Degree in Graphic Design,3.81
19,social worker; therapist; school counselor; support worker; summer camp counselor; psychotherapist; clinical psychologist; social work intern; corps member; youth worker; clinical social worker; caseworker; orientation leader; child care; mental health counselor; school social worker; mental health therapist; medical social worker; intake coordinator; licensed clinical social worker; licensed professional counselor; behavior therapist; career counselor; counseling intern; youth counselor; behavior specialist; mental health worker; social work; intake specialist; dhs human services; mental health technician; childcare worker; case worker,"adolescents, mental health, crisis intervention, group therapy, psychotherapy",Bachelor's Degree,2.03
20,summer analyst; investment analyst; investor; investment advisor; investment banking analyst; investment manager; london united kingdom | professional profile; fund accountant; investment banking summer analyst; senior managing director; first vice president; new york new york | professional profile; equity research analyst; investment associate; chief investment officer; equity analyst; portfolio analyst; wealth manager; investor relations; analyst intern; investment banking associate; certified financial planner,"bloomberg, valuation, corporate finance, equities, investments",Bachelor's Degree,3.41
21,business owner; self employed; co-owner; co owner; owner/operator; independent business owner; owner-operator; owner operator; self-employed; owner/manager; small business owner; company owner; president/owner; owner / operator; owner/president; franchise owner; owner and operator; principal owner; owner/director; owner/partner; president and owner; owner and president; owner / president; owner / manager; owner and manager; part owner; director/owner; owner principal; president / owner; owner/ operator,"owner, sales, team building, leadership, marketing",Bachelor's Degree,5.97
22,senior analyst; research analyst; clinical research associate; research manager; research officer; research coordinator; research consultant; market research analyst; senior research analyst; market researcher; research director; research executive; associate analyst; senior clinical research associate; director of research; lead analyst; market research intern; clinical research assistant,"quantitative research, research manager, primary research, research analyst, market research",Bachelor's Degree,3.67
23,library assistant; escrow officer; actuarial analyst; information specialist; collections specialist; gallery assistant; escrow assistant; gis specialist; actuary; geophysicist; gis technician; notary public; archivist; loss prevention; loss prevention manager; collection officer; credentialing specialist; records clerk; library director,"library science, information literacy, librarian, closings, library research",Bachelor's Degree,2.58
24,chief financial officer; senior account executive; public relations intern; operations assistant; communications intern; business development intern; assistant account executive; operations intern; operations associate; front desk associate; pr intern; marketing internship; social media marketing intern; brand representative; marketing and communications intern; account associate; associate account manager; associate account executive; account management intern,"social media, intern, marketing intern, facebook, event planning",Bachelor's Degree,1.53
25,executive officer; officer; operations specialist; operations officer; logistics officer; commander; intelligence analyst; chief officer; military police; infantry; staff sergeant; liaison officer; government; senior instructor; company commander; platoon leader; assistant instructor; government employee; platoon sergeant; army officer; junior officer; first sergeant,"military operations, military, military experience, security clearance, army",Bachelor's Degree,5.0
26,laboratory technician; research engineer; laboratory assistant; group leader; summer trainee; laboratory manager; project trainee; research and development engineer; technologist; analytical chemist; research and development; junior researcher; master thesis; research internship; laboratory analyst; laboratory supervisor; master thesis student; research chemist; senior research engineer; senior chemist; qc analyst; research and development intern; research and development manager,"chemistry, gmp, chemist, analytical chemistry, hplc",Bachelor's Degree,2.65
27,account manager; key account manager; senior account manager; account director; national account manager; account representative; strategic account manager; account specialist; client relationship manager; corporate account manager; customer success manager; business director; sr account executive; global account manager; national account executive; sr account manager; key account executive; director of client services; territory account manager; national accounts manager; major account manager; key accounts manager; senior account director; solutions specialist; senior key account manager; customer account manager; business account manager; group account director; business account executive; channel account manager; national key account manager; client services specialist; executive account manager; senior account representative,"account manager, direct sales, account management, salesforce.com, solution selling",Bachelor's Degree,4.85
28,technical support engineer; technical support specialist; technical analyst; technical support representative; technical support analyst; customer support engineer; technical engineer; it support specialist; it support technician; tech support; technical account manager; support analyst; it support engineer; technical support manager; technical services manager; desktop support technician; it support analyst; technical; customer support manager; customer service engineer; help desk technician; application support analyst; support technician; senior technical support engineer; helpdesk technician; senior technical analyst; technical service engineer; technical services; senior support engineer; product support specialist; technical service representative; product support engineer,"troubleshooting, technical support, active directory, software installation, technical support engineer",Bachelor's Degree,3.31
